Expression,Brow-Outer-L,Brow-Inner-L,Brow-Center,Brow-Inner-R,Brow-Outer-R,Upper-Lid-L,Upper-Lid-R,Lower-Lid-L,LowerLid-R,Sneer-L,Sneer-R,Cheek-Squint-L,Cheek-Squint-R,Upper-Lip-L,Upper-Lip-Center,Upper-Lip-R,Smile_L,Smile_R,EE-R,Frown_R,EE-L,Frown_L,Lower-Lip-L,Lower-Lip-Center,Lower-Lip-R
blender_neutral,981,1398,792,1464,2038,1874,1126,1504,1643,770,1872,1866,1008,1779,956,1213,2968,3373,1849,1791,1448,1570,1484,1733,1303
worried,768,1829,1874,1107,2033,2047,962,1429,1765,775,1871,1625,1127,1732,1146,1308,3388,3124,1907,1791,1368,2103,1823,1577,790
happy,1160,1375,865,1300,2087,1820,1114,1403,1770,945,1698,987,1898,997,1148,1861,3900,2449,1987,1542,1245,1760,2193,2103,720
engaged,918,1721,792,1117,2191,1839,1158,1389,1719,774,1871,1681,1099,1777,1022,1213,3357,3059,1919,1791,1369,1570,1484,1797,1303
confused,1036,1197,1225,1560,2066,1848,1135,1468,1707,876,1872,1801,1008,1702,990,1213,3175,3373,1866,1791,1436,1637,1474,1737,1368
surprised,1795,2122,1335,1123,1080,2020,961,1589,1591,774,1871,1664,1107,1741,1115,1293,2968,3373,1854,1791,1464,1570,1829,1905,1033
sad,714,1776,1808,1039,2338,1875,1162,1504,1643,775,1871,1640,1119,2046,828,933,2959,3381,1849,1200,1448,2211,1386,1455,996
recoil,1438,1546,1838,1237,1788,2043,1030,1497,1694,1099,1731,1710,1247,1008,956,1979,2968,3373,1849,1791,1448,1570,1484,1733,1303
amused,975,1499,1130,1443,2072,1881,1121,1428,1732,1125,1595,1152,1774,1277,1018,1534,3713,2769,1966,1800,1380,1561,1949,1896,778
comprehending,981,1984,1234,1134,1770,1922,1077,1466,1732,770,1872,1866,1008,1777,1027,1214,3427,2828,1775,1791,1247,1570,1484,1802,1303
irritated,940,771,962,1896,2136,1908,1055,1420,1748,1421,1385,1866,1008,1452,957,1672,3397,3373,1771,1372,1487,2052,1025,1449,1535
